Estaciones;Fechas;Parametros;Valores
Ar-02;1/02/2020;PM2.5;4.78
Ar-02;1/03/2020;PM2.5;13.24
Ar-02;1/07/2020;PM2.5;7.56
Ar-02;1/08/2020;PM2.5;13.94
Ar-02;1/09/2020;PM2.5;11.17
Ar-02;1/10/2020;PM2.5;12.2
Ar-02;1/11/2020;PM2.5;12.53
Ar-02;1/12/2020;PM2.5;4.08
Ar-02;1/01/2021;PM2.5;3.44
Ar-02;1/02/2021;PM2.5;25.6
Ar-02;1/03/2021;PM2.5;4.69
Ar-02;1/04/2021;PM2.5;4.26
Ar-02;1/05/2021;PM2.5;8.04
Ar-02;1/06/2021;PM2.5;6.96
Ar-02;1/07/2021;PM2.5;14.97
Ar-02;1/08/2021;PM2.5;2.67
Ar-02;1/09/2021;PM2.5;5.38
Ar-02;1/10/2021;PM2.5;2.5
Ar-02;1/11/2021;PM2.5;7.6
Ar-02;1/12/2021;PM2.5;3.63
Ar-02;1/01/2022;PM2.5;15.01
Ar-02;1/02/2022;PM2.5;4.01
Ar-02;1/03/2022;PM2.5;2.5
Ar-02;1/04/2022;PM2.5;2.5
Ar-02;1/05/2022;PM2.5;2.5
Ar-02;1/06/2022;PM2.5;2.83
Ar-02;1/07/2022;PM2.5;7.2
Ar-02;1/08/2022;PM2.5;3.51
Ar-02;1/09/2022;PM2.5;2.5
Ar-02;1/10/2022;PM2.5;8.15
Ar-02;1/11/2022;PM2.5;7.83
Ar-02;1/12/2022;PM2.5;7.03
Ar-02;1/01/2023;PM2.5;2.5
Ar-02;1/02/2023;PM2.5;4.5
Ar-02;1/03/2023;PM2.5;4.7
Ar-02;1/04/2023;PM2.5;2.5
Ar-02;1/05/2023;PM2.5;3.89
Ar-02;1/06/2023;PM2.5;24.74
Ar-02;1/07/2023;PM2.5;13.82
Ar-02;1/08/2023;PM2.5;17.97
Ar-02;1/09/2023;PM2.5;7.18
Ar-02;1/10/2023;PM2.5;2.76
Ar-02;1/11/2023;PM2.5;3.6
Ar-02;1/12/2023;PM2.5;2.76
Ar-02;1/01/2024;PM2.5;5.47
Ar-02;1/02/2024;PM2.5;2.76
Ar-02;1/03/2024;PM2.5;3.99
Ar-02;1/04/2024;PM2.5;2.76
Ar-02;1/05/2024;PM2.5;2.76
Ar-02;1/06/2024;PM2.5;8.89
Ar-02;1/07/2024;PM2.5;4.45
Ar-02;1/08/2024;PM2.5;12.04
Ar-02;1/09/2024;PM2.5;17.44
Ar-02;1/10/2024;PM2.5;6.69
Ar-02;1/11/2024;PM2.5;42.95
Ar-02;1/12/2024;PM2.5;2.76
Ar-02;1/01/2025;PM2.5;2.76
Ar-02;1/02/2025;PM2.5;2.76
Ar-02;1/03/2025;PM2.5;2.76
Ar-02;1/04/2025;PM2.5;2.76
Ar-02;1/05/2025;PM2.5;2.76
Ar-02;1/06/2025;PM2.5;14.07
Ar-03;1/01/2020;PM2.5;12.38
Ar-03;1/02/2020;PM2.5;8.26
Ar-03;1/07/2020;PM2.5;26.43
Ar-03;1/08/2020;PM2.5;14.18
Ar-03;1/09/2020;PM2.5;20.07
Ar-03;1/10/2020;PM2.5;8.89
Ar-03;1/11/2020;PM2.5;18.46
Ar-03;1/12/2020;PM2.5;3
Ar-03;1/01/2021;PM2.5;2.5
Ar-03;1/02/2021;PM2.5;19.54
Ar-03;1/03/2021;PM2.5;2.5
Ar-03;1/04/2021;PM2.5;4
Ar-03;1/05/2021;PM2.5;8.67
Ar-03;1/06/2021;PM2.5;10.61
Ar-03;1/07/2021;PM2.5;14.71
Ar-03;1/08/2021;PM2.5;6.53
Ar-03;1/09/2021;PM2.5;8.76
Ar-03;1/10/2021;PM2.5;2.5
Ar-03;1/11/2021;PM2.5;19
Ar-03;1/12/2021;PM2.5;2.84
Ar-03;1/01/2022;PM2.5;5.35
Ar-03;1/02/2022;PM2.5;3.84
Ar-03;1/03/2022;PM2.5;2.5
Ar-03;1/04/2022;PM2.5;2.5
Ar-03;1/05/2022;PM2.5;3.57
Ar-03;1/06/2022;PM2.5;4.98
Ar-03;1/07/2022;PM2.5;5.35
Ar-03;1/08/2022;PM2.5;13.91
Ar-03;1/09/2022;PM2.5;10.72
Ar-03;1/10/2022;PM2.5;23.96
Ar-03;1/11/2022;PM2.5;8.12
Ar-03;1/12/2022;PM2.5;23.86
Ar-03;1/01/2023;PM2.5;4.09
Ar-03;1/02/2023;PM2.5;5.11
Ar-03;1/03/2023;PM2.5;2.89
Ar-03;1/04/2023;PM2.5;2.89
Ar-03;1/05/2023;PM2.5;8.08
Ar-03;1/06/2023;PM2.5;19.85
Ar-03;1/07/2023;PM2.5;13.95
Ar-03;1/08/2023;PM2.5;28.91
Ar-03;1/09/2023;PM2.5;2.76
Ar-03;1/10/2023;PM2.5;2.76
Ar-03;1/11/2023;PM2.5;6.18
Ar-03;1/12/2023;PM2.5;2.76
Ar-03;1/01/2024;PM2.5;2.76
Ar-03;1/02/2024;PM2.5;2.76
Ar-03;1/03/2024;PM2.5;2.76
Ar-03;1/04/2024;PM2.5;2.76
Ar-03;1/05/2024;PM2.5;2.76
Ar-03;1/06/2024;PM2.5;2.82
Ar-03;1/07/2024;PM2.5;15.86
Ar-03;1/08/2024;PM2.5;8.39
Ar-03;1/09/2024;PM2.5;17.25
Ar-03;1/10/2024;PM2.5;2.76
Ar-03;1/11/2024;PM2.5;20.39
Ar-03;1/12/2024;PM2.5;2.86
Ar-03;1/01/2025;PM2.5;2.76
Ar-03;1/02/2025;PM2.5;2.76
Ar-03;1/03/2025;PM2.5;2.76
Ar-03;1/04/2025;PM2.5;2.76
Ar-03;1/05/2025;PM2.5;2.76
Ar-03;1/06/2025;PM2.5;23.15
Ar-04;1/01/2020;PM2.5;4.07
Ar-04;1/02/2020;PM2.5;2.5
